Name of the college,District
Mahila Arts and Commerce College,
Mahila Arts College,
Mahila Arts College,Junagadh
Mahila Arts, Commerce College,
Mahila College,
Mahila Degree College,
Mahila Gram Vidyapith,
Mahila Mahavidyalaya (PG) College,
Mahila Mahavidyalaya,
Mahila Mahavidyalaya,Godda
Mahila Mahavidyalaya,Nawada
Mahila Mahavidyalaya,Patna
Mahila Seva Sadan Degree College,
Mahila Vidyalaya Degree College,
Mahilla Mahavidyalaya,
Mahima Mahavidayalaya,
Mahimunda Degree College,,
Mahipal Singh Mahavidyalaya,
Mahishadal's Girls College,
Mahishdal Raj College,
Mahitosh Nandy Mahavidyalaya,
Mahlara Arts & Science College for Women,Kozhikode
Mahmoodabad College of Management & Technology,
Mai Bhago College for women,
Maibang Degree College,N.C Hills
Maikulal Mahavidyalaya,
Mailam Engineering College,Viluppuram
Maina Devi Mahavidyalaya,Azamgarh
Mainathi Kunwar Chandrawati Mahavidhyalay,Pratapgarh
Mairang Presbyterian Science College,
Maitreya Bhuuddeshiya Sevabhavi Sanstha’s G.K.S College of Arts, Commerce & Science,Thane
Maitreyi College,
Majdoor Kisan Mahavidyalaya,Palamu
Majha College for Women,Tarn Taran
Majidun Nisa Girls Degree College,
Majlis Arts & Science College,Malappuram
Major S.D. Singh Ayurvedic Medical College & Hospital,
Major Shiv Dayal Singh Mahavidyalaya,
Major Shiv Dayal Singh Vidhi Mahavidyalaya,
Major Shivdayal Singh Mahavidhyalaya,
Majuli College,Jorhat
Makanur Malleshappa College of Education,Davanagere
Makhan Lal Chturvedi Govt. Degree College,
Makum College,Tinsukia
Malabar Christian College,
Malabar College of Advanced Studies,Malappuram
Malati Vasntdada Patil Kanya Mahavidyalaya,
Malaukaua Catholic College,
Malaviya National Institute of Technology, Jaipur
Malaviya National Institute of Technology, Jaipur,Jaipur
Malayinkeezh Madhavakavi Government Arts and Science College,
Malda College,
Malda Women's College,
Malik Sandal Institute of Art and Architecture,
Malineni Lakshmaiah Women’s Engineering College,,Guntur
Malka Mahila Mahavidyalaya,Bara Banki
Malkangiri College,
Malla Reddy College of Engineering and Technology,
Malla Reddy College of Engineering for Women,
Malla Reddy College of Engineering,
Malla Reddy College of Pharmacy,
Malla Reddy Dental College for Women,
Malla Reddy Engineering College and  Management Sciences,
Malla Reddy Engineering College for Women,
Malla Reddy Engineering College,
Malla Reddy Institute of Dental Sciences,
Malla Reddy Institute of Engineering & Technology,
Malla Reddy Institute of Medical Sciences,
Malla Reddy Institute of Technology and Science,
Malla Reddy Institute of Technology,
Malla Reddy Medical College for Women,
Malla Reddy Pharmacy College,
Mallama Marimallapas Women's Arts & Commerce College,Mysore
Malleswaram Ladies Association First Grade College For Women,
Malnad College of Engineering,Hassan
Malti Devi Degree College,Sitapur
Maltidhari College,Patna
Malviya Regional Engineering College,
Malwa Central College of Education for Women,
Malwa College,
Malyagiri Mahavidyalaya,
MAM Women’s Engineering College,
Mama Saheb Mahol Arts, Commerce & Science College,Pune
Mamit College,
Mamta College,Etah
Mamta Girls Degree College,Bara Banki
Mamta Mahavidyalaya,
Manabendra Sarma Girls’ College,Kamrup
Management Education & Research Institute,
Manakula Vinayagar Institute of Technology,
Manavadar Kelvani Mandal Sanchalit Arts & Commerce College,
Manavlok’s College of Social Sciences,
Manbhum Mahavidyalaya,
Mandar college,
Mandava Institute of Engineering and Technology,Krishna
Mandawar Degree College,Bijnor
Mandosil College,
Manekchowk Co-Op. Bank Arts & Mahemdabad Urben People Co-Op. Bank Commerce College,
Maneklal Nanavati Law College,
Manel Srinivas Nayak Memorial Besant Institute of PG Studies,Dakshina Kannada
Mangala Mahavidyalaya,
Mangaldoi College,darrant
Mangalmay Institute of Engineering and Technology,,
Mangalmay Institute of Management and Technology,
Mangalmay Institute of Management and Technology,,
Mangalore Academy of Professional Studies,
Mangalore Institute of Technology & Engineering,
Mangaon Shikshan Prasarak Mandal’s D.G. Tatkare Mahavidyalaya Arts, Science & Commerce,
Mangaon Taluka Education Society’s Doshi Vakil Arts College and G.C.U.B. Science & Commerce College,Raigarh
Mangayarkarasi College of Arts & Science for Women,Madurai
Manghanmal Udhram College of Commerce,Pune
Mangla Devi Smarak Degree College,Allahabad
Manglam Mahil Mahavidyalaya,
Mangolnganbi College,
Manguba M.Ed College,Ahmadabad
Maniabandha  College (+3),
Maniba College of Education,Ahmadabad
Maniben Bhikhabhai College of Commerce & Shri Goswami M.N. Laljit Arts College,
Maniben Nanavati Women's College,
Manik Chand Phade Law College,
Manikchak College,Maldah
Manikeswari Degree College,
Manikpur Anchalik College,Bongaigaon
Maninagar Science College,
Manipur College,
Manish College for Women Education,
Manishi Mahila Mahavidyalaya,
Manjunatha Pai Memorial Government First Grade College of Professional & Business Management,
Mankachar College,Dhubri
Mankar College,
Manmeet Nagar Mahavidyalaya,
Mannam Memroial N.S.S. College,
Mannaniya College of Arts and Science,
Mannar Thirumalai Naicker College,
Manohar Memorial College,
Manohara Smriti Mahila Mahavidyalaya,
Manoharbhai Patel Arts & Commerce College,
Manoharbhai Patel Arts Science & Commerce College,
Manoharbhai Patel College of Arts and Commerce,
Manohari Devi Kanoi Girls College,Dibrugarh
Manonmaniam Sundaranar University College,Tirunelveli
Manorama Institute of Management & Technology,Agra
ManrajiMunnar Ram Mahavidyalaya, Majhauli, Patti, Pratapgarh – 230 135,  Uttar Pradesh,Pratapgarh
Mansa College of Education,
Mansa First Grade College,
Mansinhbhai Institute of Dairy and Food Technology,,
Manu Law College,
Manvendra Singh Suman Mahavidyalaya,Jaunpur
Manyavar Kanshi Ram Gautam Buddh Girls Degree College,
Manyawar Kanshiram Govt. Degree College,
Manyawar Kanshiram Mahavidyalaya,
Manyawar Kanshiram Mahavidyalaya,Kaushambi
Manyvar Kanshi Ram Govt. Degree College,
Mar Athanasios College for Advanced Studies,
Mar Athanasius College of Engineering,
Mar Athanasius College,
Mar Augusthinose College,Kottayam
Mar Baselios College of Engineering & Technology,Thiruvananthapuram
Mar Dioneysius College,
Mar Ephraem College of Engineering and Technology,Kanyakumari
Mar Ivanios College,
Mar Sleeva College of Arts and Science,Idukki
Mar Theophilus Training,
Mar Thoma College for Women,
Mar Thoma College of Science & Technology,Kollam
Mar thoma College,
Mar Thoma College,
Marangi Mahavidyalaya (Degree),Golaghat
Maratha Mandal's Arts, Commerce, Science & Home Science College,
Maratha Vidya Prasarak Samaj’s Arts and Commerce College,Nashik
Maratha Vidya Prasarak Samaj’s Arts, Commerce & Science College,Nashik
Maratha Vidya Prasarak Samaj’s Arts, Commerce and Science College,Nashik
Maratha Vidya Prasarak Samaj’s Arts, Science & Commerce College,
Maratha Vidya Prasarak Samaj’s Karmaveer Adv. Baburao Ganpatrao Thakare College of Engineering,,Nashik
Maratha Vidya Prasarak Samaj’s Karmaveer Punjababa Goverdhane Arts, Commerce and Science College,Nashik
Maratha Vidya Prasarak Samaj's Karmaveer Raosaheb Thorat Arts & Commerce College,Nashik
Marathawada College of Education,
Marathawada Mitramandal's College of Commerce,Pune
Marathwada Mitra Mandal’s College of Engineering,
Marathwada Mitra Mandal’s College of Pharmacy,Pune
Marathwada Mitra Mandal’s Institute of Technology,Pune
Marathwada Mitra Mandal’s Shankarrao Chavan Law College,Pune
Marathwada Sanskritik Mandal's College of Physical Education,
Marathwada Shikshan Prasarak Mandal’s Deogiri Institute of Engineering and Management Studies,Aurangabad
Marathwada Shikshan Prasark Mandal's Rajmata Jijau Mahavidyalaya,Bid
Margherita College,Tinsukia
Margtamhane Education Society's Dr. Tatyasaheb Natu College of Arts & Senior College of Commerce,
Marian College,
Marian Engineering College,
Marigaon College,marigaon
Maris Stella College,Krishna
Mariyam Bibi Institute of Higher Education,Rae Bareli
Markanda National College,
Markandey Degree College,
Markaz College of Arts & Science,Kozhikode
Markham College of Commerce,
Marri Laxman Reddy Institute of Technology & Management,
Marshaghai College,
Marudhar Kesari Jain College for Women,Vellore
Marudupandiar College,Thanjavur
Marutirao Harirao Mahadik Arts and Commerce College,Solapur
Marwar Business School,
Marwari Colleege,
Marwari College,
Mary Matha Arts & Science College,
Mary Matha College of Arts and Science (Co-Education),
Maryada Devi Kanya Degree College,
Maryada Purushotam Degree College,
Maryam Ajmal Women’s College of Science and Technology,,
Maseehunnishan Degree College,
Masoom Educational & Welfare Society Parbhani’s Aqueel Sir College of Social Work,Parbhani
Mass College of Arts and Science,
Master Aadityadendra Government College,
Master Dinanath Mangeshker Mahavidyalaya,
Master Tara Singh Memorial College for Women,
Mata Basanti Devi School of Biosciences & Biotechnology,Agra
Mata Bhagwati Devi Rajkiya Mahila Mahavidyalaya,
Mata Bhagyamani Devi Mahila Degree College,Ghazipur
Mata Dhanmati Devi Degree College,,Kushinagar
Mata Dhiraji Mahavidyalaya,Azamgarh
Mata Ganga Girls College,
Mata Ganga Khalsa College for Girls,
Mata Gomti Devi Degree College,
Mata Gujri College,
Mata Gujri Mahila Mahavidyalaya,
Mata Harki Devi College for Women,
Mata Jeeja Bai Govt. Girls PG College,
Mata Kamla Devi Mahila Mahavidyalaya,Bijnor
Mata Kusum Devi Girls Degree College,Ghazipur
Mata Lilawati Chanara Devi Mohit Phalwan Mahavidyalaya,Azamgarh
Mata Manjharo Ajab Dayal Singh  Mahavidyalaya,Bhojpur
Mata Manjharo Ajab Dayal Singh Teachers Training College,Bhojpur
Mata Prasad Adarsh Mahavidyalaya,
Mata Sahib Kaur Khalsa Girls College of Education,Patiala
Mata Sita Sunder College of Education,Sitamarhi
Mata Sundari College for Women,
Mata Sundri Khalsa Girls College,Karnal
Mata Sundri University Girls College,Mansa
Matarani Rumali Devi Mahila Mahavidyalaya,
Mateshwari Kankuben Hirachand Sanghvi Gujarati Kanya Mahavidyalaya,
Mathabhanda College,
Mathakaragola Degree College,
Mathura Degree College,
Mathura Prasad Mahavidyalaya,
Mathura Rai Mahila Mahavidyalaya,
Matoshree Vimalabai Deshmukh Mahavidyalaya,
Matoshri Aashatai Kunawar Arts, Commerce & Science Mahila Mahavidyalaya,,
Matoshri Education Society’s Matoshri College of Engineering and Research Centre,Nashik
Matoshri Nanibai Gharphalkar Science College,
Matoshri Pratishthan’s Group of Institutions (Integrated Campus) School of Management,Nanded
Matoshri Pratishthan’s Group of Institutions (School of Engineering),Nanded
Matoshri Shantabai Gote Arts, Commerce & Science College,
Matri Gangajali Mahavidyalaya,Ghazipur
Matru Sewa Sangh Insitute of Social Work,
Matrushree Monghima Mahila Arts & Commerce College,
Matrusri Engineering College,Hyderabad
Matrusri Oriental College,Guntur
Matsyodari Shikshan Sanstha’s Ankushrao Tope College,
Matsyodari Shikshan Sanstha’s Arts College,
Matuk Smarak Mahavidyalaya,
Maturi Venkata Subba Rao Engineering College,
Matushree Monghiba Mahila Arts College,
Matushri Ahilyadevi Teachers Education Institute,Indore
Matushri Kanbai Lalbai & Motibai Lohana Kanyashala & Balikagruh’s B.L. Amlani College of Commerce and Economics M.R. Nathwani College of Arts,Mumbai
Matushri Virbaima Mahila Arts College,
Matushri Virbaima Mahila Science and Home Science College,
Maulana Abdul Kalam Azaad Faiz- E-Aam Mahavidyalaya,Kanpur Dehat
Maulana Azad College of Arts & Science & Commerce,
Maulana Azad College of Technology,
Maulana Azad College,
Maulana Azad Educational Trust’s, Y.B. Chavan College of Pharmacy,
Maulana Azad Institute of Humanities, Science and Technology,
Maulana Azad Mahavidyalaya,
Maulana Azad Medical College,
Maulana Azad Memorial College,Jammu
Maulana Azad National Institute of Technology, Bhopal
Maulana Azad National Institute of Technology, Bhopal,Bhopal
Maulana Mazharul Haqque Teacher’s Training College,
Maulana Mohammad Ali Johar Higher Education Institute,Bijnor
Mauli Mahavidyalaya,
Mauli Vidyapeeth Kaij's Pramilrdevi  Patil Arts & Science College,
Mauli Vidyapeeth Kaij’s Saraswati Mahavidyalaya,
Mauli Vidyapeeth’s Mahila Kala Mahavidyalaya,
Mawlai Presbyterian College,
Mawsynram Border Area College,
Maxford Teachers Training College,
Maya Devi Sitaram Degree College,
Mayai Lambi College,
Mayang Anchalik College,Morigaon
Mayank Shekhar Mahavidyalaya,
Mayfair College,Moradabad
Maynaguri College,
Mayurakshi Gramin College,
Mayurbhanj College of Accountancy and Management,
Mayurbhanj Law College,
Mazahrul Haque Degree Mahavidyalaya,
Mazbat College,Darrang
Mazharul Uloom College,
MBR Govt. College,
McGan’s Ooty School of Architecture,The Nilgiris
MCKV Institute of Engineering,
Md. Shahaban Memorial Mahavidyalaya,
Md. Shahbaan Memorial Mahavidyalaya,Mau
Medai Prasad Yadav Mahavidyalaya,
Medarametla Anjamma Mastan Rao College of Education,
Medarametla Anjamma Mastan Rao Law College,
Medha Degree College,
Medi-Caps Institute of Technology and Management,
Medical College,
Medical College,Kamrup
Meenaakshi Ramasamy Arts and Science College,Ariyalur
Meenakshi Chandrasekaran College of Arts and Science,Thanjavur
Meenakshi College For Women,
Meenakshi Sundararajan Engineering College.,Chennai
Meera Kanya Mahavidyalaya,
Meerut College of Advance Technology,
Meerut College,
Meerut Institute of Engineering & Technology,
Meerut International Institute of Technology,
Megha Institute of Engineering & Technology for Women,
Meghabaran Singh Mahavidyalaya,
Meghason College,
Mehr Chand Mahajan D.A.V. College for Women,
Mehta College & Institute of Technology,Jaipur
Mehta College,
Mehta Teacher Training College,Jaipur
Mekliganj College,coochbeher
Melamora College,Golaghat
Memari College,
Mendipathar College,
Meneklal Nanchand college,
MEPCO Schlenk Engineering College,Virudhunagar
Mercy College,Palakkad
MES College,,Kottayam
MES Institute of Management,Bangalore
Mes's M.M. Arts & Science College,
Meston College of Education,
MET’s Institute of Management,Nashik
Methodist Arts College,
Methodist College of Engineering & Technology,Hyderabad
Methodist Girls Degree College,
Metro College of Nursing,Gautam Buddha Nagar
Mevalal Jaiswal Mahavidyalaya,
Mewa Lal Singh Degree College,Allahabad
Mewar Institute of Management,
Mewar Law Institute,
Mewar Shikshak Prashikshan (Shiksha Shastri) Mahavidyalaya,
MGM’s College of Engineering,Nanded
MGM’s Dr. G. Y. Pathrikar College of Computer Science and Information Technology,Aurangabad
MIC Arts and Science College,Malappuram
Michael Job College of Arts & Science for Women,Coimbatore
Michael Madhusudan Dutta College,
Michael Madhusudan Memorial College,
Microtek College of Management & echnology,,Varanasi
Microtek College of Management & Technology,Jaunpur
Midnapore City College,Paschim Medinipur
Midnapore College,
Midnapore Law College,
MIER College of Education,Jammu
Mihir Bhoj Balika Degree College,
Milad-E-Sherief Memorial College,
Milagres College,
Milanjyoti College,Barpeta
Milestone Institute of Professional Studies,
Milind College of Arts,
Milind College of Science,
Millat College,
Millat College,Godda
Millat Teacher's Training College,Madhubani
Millennium Institute of Management (MBA),
Milli-Al-Ameen College (for Girls),
Millia Fakharuddin Ali Ahmad B.Ed. Teachers Training College,Purnia
Millia Institute of Technology,
Millia Kaniz Fatma Women’s Teachers Training College,
Millia Kishanganj College of Engineering & Technology,Kishanganj
Millia Teachers Training College,
Milliya Arts, Science and Management Science College,
MIMS College of Nursing,Malappuram
Minal College,Sikar
Miracle Educational Society Group of Institutions,
Miraj Mahavidyalaya,
Miranda House,
Mirza  Ghalib College,
Mirza Ahsanullah Beg Niswan (Girls) Degree College,
Misrimal Navajee Munoth Jain Engineering College,Chennai
MIT Academy of Engineering,Pune
MIT First Grade College,
Mithila Institute of Post Graduate Studies and Research in Sanskrit Learning,
Mithila Mahila College,
Mithilesh Nandini Reshama Arif Mahavidyalaya,
Mizoram  Law  College,
Mizoram College of Nursing,Aizawl
Mizoram Institute of Education,
MLR Institute of Technology,
MMD DAV College,
MNR College of Engineering and Technology,
MNR College of Pharmacy,Medak
Model Christian College,
Model College,
Model Degree College,
Model Engineering College,Ernakulam
Model Government Degree College,Kashmir
Model Institute of Engineering & Technology,Jammu
Model Public Education College,
Model Public Law College,
Modern College of Arts, Science & Commerce,Pune
Modern College of Education,Lucknow
Modern College of Professional Studies,
Modern College,
Modern College,Jhansi
Modern Education Society’s College of Education,Sangli
Modern Education Society’s Neville Wadia Institute of Management Studies & Research,Pune
Modern Girls’ College of Professional Studies,Lucknow
Modern Institute of Teacher Education,
Modern Institute of Teachers Education,
Modern Institute of Technology,
Modinagar Institute of Technology,
Moghal College of Education,
Mohamed Sathak A J College of Engineering,Chennai
Mohamed Sathak A.J. Academy of Architecture,
Mohamed Sathak College of Arts and Science,
Mohamed Sathak Engineering College,Ramanathapuram
Mohammad Ali Nazeer Fatima Degree College,
Mohammad Hasan Post Graduate College,
Mohammadi Mahavidyalaya,Lakhimpur
Mohammed Umer Amjadiya Mahavidyalaya,Basti
Mohan Lal Verma Educational Institute,
Mohan Memorial Prayag Mahavidyalaya,Ghazipur
Mohanlal & Vijayaben Arts and Commerce College,
Mohanlal Sankarchand Bhagat & Chandulala S.Chand Sonawala Law College,
Mohanrao Patil Mahavidyalaya,
Mohini B. Manwani Girls Degree College,
Mohta Centre for Management studies,
Mohtarma Jainab Hira Mahavidhyalaya,Jalaun
Moid Ahamad Kanya Mahavidyalaya,Sultanpur
Moinul Hoque Choudhury Memorial Science College,Hailakandi
Moirabari College,Nagaon
Moirang College,
Mokokchung College of Teacher Education,Mokokchung
Molai Singh Haushila Prasad Singh  Ram Sagar Singh Mahavidyalaya,Mirzapur
Montessori Mahila Kalasala,Krishna
Montfort College,Bangalore
Montgomery Guru Nanak College of Education,
Moolchand Mahavidyalaya,Ghazipur
Moolji Jaitha College,
Moon Degree College,amroha
Moradabad Muslim Degree College,
Moran College,Sivasagar
Moran Mahila Mahavidyalaya,Sivasagar
Morappur Kongu Arts and Science College,Dharmapuri
Moreh College,
Moreshwar Arts, Science & Commerce College,
Moriani College,Jorhat
Moridhal College,Dhemaji
Morning Star College,
Morning Star Home Science College,
Mother Teresa Institute of Science and Technology,
Mother Teresa Memorial Teacher’s Training College,Kashmir
Mother Teresa Pharmacy College,
Mother Teresa Women’s College,
