Name of the college,District,State
Post Graduate Government College for Girls,,Chandigarh
Post Graduate Institute of Dental Sciences,Rohtak,Haryana
Post-Graduate College,,Uttar Pradesh
Postgraduate Training College,Jorhat,Assam
Potti Sriramulu Chalavadi Mallikarjuna Rao College of Engineering & Technology,,Andhra Pradesh
PPG Business School,Coimbatore,Tamil Nadu
PPG College of Arts and Science,Coimbatore,Tamil Nadu
PPG Institute of Technology,Coimbatore,Tamil Nadu
Prabal Brahm Mahavidyalaya,Ghazipur,Uttar Pradesh
Prabha Devi Bhagwati Prasad Mahavidyalaya,,Uttar Pradesh
Prabha Devi Mahavidyalaya,,Uttar Pradesh
Prabhakarrao Mamulkar Mahavidyalaya,,Maharashtra
Prabhas Degree College,Vijayawada,Andhra Pradesh
Prabhat kumar College,,West Bengal
Prabhawati Devi Moti Prasad Mahavidyalaya,,Uttar Pradesh
Prabhu Devi Mahavidyalaya,Jaunpur,Uttar Pradesh
Prabhu Jagatbandhu College,,West Bengal
Prabhu Narain Singh Mahavidyalaya,,Uttar Pradesh
Prabhudas Thakkar Arts & Commerce College,,Gujarat
Prachi Mahavidyalaya,Kanpur Nagar,Uttar Pradesh
Prachya Niketan,,Madhya Pradesh
Pradnya Niketan Education Society’s Pune Nagesh Karajagi Orchid College of Engineering and Technology,Solapur,Maharashtra
Prafulla Chandra College,,West Bengal
Pragajyotish College,Kamrup,Assam
Pragati College of Arts & Commerce,Thane,Maharashtra
Pragati Education Society’s Pragati Degree College,Palghar,Maharashtra
Pragati Engineering College,East Godavari,Andhra Pradesh
Pragati Mahavidyalaya College of Arts & Commerce,,Telangana
Pragati Mahila Kala Mahavidyalaya,,Maharashtra
Prahlad Kumar Susheela Devi Shivajee Mahila Mahavidyalay,Basti,Uttar Pradesh
Prahladrai D.L. College of Commerce & Economics,,Maharashtra
Praja Mandal Mahila Mahavidyalaya,,Odisha
Prajyoti Niketan College,,Kerala
Prakasam Degree College,West Godavari,Andhra Pradesh
Prakasam Engineering College,Prakasam,Andhra Pradesh
Prakasam Engineering College,Prakasam,Andhra Pradesh
Prakash Chandra Mahavidyalaya,,Uttar Pradesh
Prakash College of Education,,Gujarat
Prakash Mahavidyalaya,,Uttar Pradesh
Prakash Mahavidyalaya,Hardoi,Uttar Pradesh
Pramothes Barua College,Dhubri,Assam
Pramukh Swami Medical College,,Gujarat
Pramukh Swami Science & H.D. Patel Arts College,,Gujarat
Pran Devi Mahadev Mahavidyalaya,Gonda,Uttar Pradesh
Pranab Chatterjee Mahavidyalaya,,Bihar
Pranab Jubilee College,Karbi Anglong,Assam
Pranabananda Woman's Colege,,Nagaland
Pranakrishna Mahavidyalaya,,Odisha
Prananath College,,Odisha
Prannath Parnami Institute of Management & Technology,Hisar,Haryana
Pranveer Singh Institute of Technology,,Uttar Pradesh
Prasad V. Potluri Siddhartha Institute of Technology,Krishna,Andhra Pradesh
Prasanna Purusottam Dev Mohavidyalaya,Cuttack,Odisha
Prasannadeb Women's College,,West Bengal
Prasanta Chandra Mahalanobis Mahavidyalaya,,West Bengal
Prasasvi T.T. College,Dausa,Rajasthan
Prashanti College of Professional Studies,Ujjain,Madhya Pradesh
Pratap Bahadur Degree College,,Uttar Pradesh
Pratap College,,Maharashtra
Pratap College of Education,,Punjab
Pratap Mahavidyalaya,Jaipur,Rajasthan
Pratap T. T. College,Jaipur,Rajasthan
Prathisthan Mahavidyalaya,,Maharashtra
Prathyusha Engineering College,,Tamil Nadu
Pratibha Niketan Mahavidyalaya (Arts Science Commerce),,Maharashtra
Pratibha Ucch Shiksha Sansthan,,Uttar Pradesh
Pravabati College,,Manipur
Pravara Medical Trust’s Ayurved College & Shri Eknath Ayurved Rugnalaya,,Maharashtra
Pravara Rural College of Education,,Maharashtra
Pravara Rural College of Pharmacy,,Maharashtra
Pravara Rural Education Society’s Arts Commerce Science and Computer Science College,Ahmadnagar,Maharashtra
Pravara Rural Education Society’s Arts Science and Commerece College,,Maharashtra
Pravara Rural Education Society’s Pravara College of Physical Education,,Maharashtra
Pravara Rural Education Society’s Sir Visvesvaraya Memorial Engineering College,,Maharashtra
Pravara Rural Education Society’s Pravara Rural Engineering College,,Maharashtra
Prayag Citizen Law College,,Uttar Pradesh
Prayag Mahavidyalaya,Allahabad,Uttar Pradesh
Prayag Mahila Vidyapeeth Degree College,,Uttar Pradesh
Prem Prakash Singh Kamla Devi Mahavidyalaya,Sitapur,Uttar Pradesh
Prem Prayag Mahavidyalaya,,Uttar Pradesh
Prem Singh Swatantrata Senani Mahavidyalaya,Bijnor,Uttar Pradesh
Prema Katiyar Shikshan Sansthan Mahavidyalaya,,Uttar Pradesh
Premi Devi Samaj Kalyan Mahila Mahavidyalaya,,Uttar Pradesh
Premlata Madan Mohan College of Education,Nalanda,Bihar
Premlata Mahila Mahavidyalaya,,Uttar Pradesh
Prerna Mahavidyalaya,Bara Banki,Uttar Pradesh
Presidency College,,Manipur
Presidency College,,West Bengal
Presidency College,Bangalore,Karnataka
Presidency College,,Tamil Nadu
Prestige Institute of Engineering Management & Research,Indore,Madhya Pradesh
Prestige Institute of Engineering Management & Research,Indore,Madhya Pradesh
Prestige Institute of Management,Gwalior,Madhya Pradesh
Prestige Institute of Management and Research,,Madhya Pradesh
Prin. L. N. Welingkar Institute of Management Development & Research,Mumbai,Maharashtra
Prin. M.C. Shah College of Commerce,,Gujarat
Prince College,Sikar,Rajasthan
Prince Dr. K. Vasudevan College of Engineering and Technology,Chennai,Tamil Nadu
Prince Shri Venkateshwara Arts and Science College,Chennai,Tamil Nadu
Prince Shri Venkateshwara Padmavathy Engineering College,Chennai,Tamil Nadu
Princess T.T. College,,Rajasthan
Princeton College of Pharmacy,,Telangana
Princeton Institute of Engineering and Technology for Women,Hyderabad,Telangana
Principal Arunrao Kalode Mahavidyalaya,Nagpur,Maharashtra
Pritee Rural Institute for Technology & Education,Bareilly,Uttar Pradesh
Prithavi Raj Chauhan Mahavidyalaya,,Uttar Pradesh
Prithvi Shiv Kisan Majdoor Balika P.G. College,,Uttar Pradesh
Prithviraj Chauhan Institute of Education & Technology,,Uttar Pradesh
Priya Darshini Anjuman Islamia Girls College,,Madhya Pradesh
Priya Rani Roy Degree College,Sitamarhi,Bihar
Priyadarshi Ashok Mahavidyalaya,Sonbhadra,Uttar Pradesh
Priyadarshini Bhagwati College of Engineering,,Maharashtra
Priyadarshini College of Engineering,Nagpur,Maharashtra
Priyadarshini College of Engineering & Technology,Sri Potti Sriramulu Nellore,Andhra Pradesh
Priyadarshini Engineering College,Vellore,Tamil Nadu
Priyadarshini First Grade College,,Karnataka
Priyadarshini Indira Degree Mahavidyalaya,Kalahandi,Odisha
Priyadarshini Indira Gandhi Govt. College for Women,,Haryana
Priyadarshini Institute of Technology & Management (GK),Guntur,Andhra Pradesh
Priyadarshini Institute of Technology & Science,Guntur,Andhra Pradesh
Priyadarshini Institute of Architecture and Design Studies,,Maharashtra
Priyadarshini Institute of Engineering and Technology,Nagpur,Maharashtra
Priyadarshini J.L. College of Engineering,Nagpur,Maharashtra
Priyadarshini J.L. College of Pharmacy,Nagpur,Maharashtra
Priyadarshini Mahila Mahavidyalaya,,Odisha
Priyadarshini Mahila Mahavidyalaya,,Maharashtra
Priyanka Mahavidyalaya,Azamgarh,Uttar Pradesh
Pro. Deenanath Pandey Mahavidhyalaya,Banda,Uttar Pradesh
Prof. Brijmohan Mishra Institute of Medical & Technical Sciences,,Madhya Pradesh
Prof. Gursewak Singh Government College of Physical Education,,Punjab
Prof. H.N. Misra College of Education,,Uttar Pradesh
Prof. N.D. Patil Mahavidyalaya,,Maharashtra
Prof. Rajabhau Deshmukh Kala Mahavidhyalaya,,Maharashtra
Prof. Ram Meghe College of Engineering & Management,Amravati,Maharashtra
Prof. Ram Meghe Institute of Technology & Research,,Maharashtra
Prof. Ramkrishna More Arts Comomerce & Science College,Pune,Maharashtra
Prof. Ramnath Pandey Mahila Mahavidyalaya,,Uttar Pradesh
Prof. S. Nurul Hasan College,,West Bengal
Prof. Sambhajirao Kadam College,,Maharashtra
Prof. V.B. Shah Institute of Management  R.V. Patel College of Commerce,,Gujarat
Professional Group of Institutions,Tiruppur,Tamil Nadu
Progati College,Dhubri,Assam
Progressive Education Society's Modern Institute of Business Studies,Pune,Maharashtra
Progressive Education Society’s Modern College of Pharmacy,Pune,Maharashtra
Progressive Education Society’s Modern Institute of Business Management,Pune,Maharashtra
Progressive Education Society’s Modern Law College,Pune,Maharashtra
Progressive Education Society’s Modern College of Engineering,Pune,Maharashtra
Progressive Eductation Society’s B.Ed. College,Pune,Maharashtra
Proudhadevaraya Institute of Technology  Karnataka,Ballia,Karnataka
Providence College for women,Nilgiri,Tamil Nadu
Providence Women's College,,Kerala
PSG College of Nursing,Coimbatore,Tamil Nadu
PSG Institute of Technology and Applied Research,Coimbatore,Tamil Nadu
PSIT -  Pranveer Singh Institute of Technology (Pharmacy),Kanpur Nagar,Uttar Pradesh
PSIT College of Higher Education,,Uttar Pradesh
PSN College of Education,Tirunelveli,Tamil Nadu
PSN College of Engineering & Technology,Thiruvenelveli,Tamil Nadu
PSN Engineering College,Palayamkottai Taluk Tirunelveli,Tamil Nadu
PSN Institute of Technology & Science Melathediyoor,Tirunelveli,Tamil Nadu
Pt Deen Dayal Upadhya Rajkiya Degree College,,Uttar Pradesh
Pt. Ambika Pratap Narayan Degree College,,Uttar Pradesh
Pt. Ashok Mishra Smarak Mahavidyalaya,Bahraich,Uttar Pradesh
Pt. Bachchi Lal Dwivedi Mahavidyalaya,,Uttar Pradesh
Pt. Chandra Dev Pandey Mahavidyalay,Sant Kabir Nagar,Uttar Pradesh
Pt. Chandra Prakash Sharma Mahavidyalaya,Mathura,Uttar Pradesh
Pt. Chandrika Smarak Purvanchal Mahavidyalaya,,Uttar Pradesh
Pt. Chiranji Lal Sharma Govt. College,,Haryana
Pt. Deen Dayal Upadhya Girls College,,Madhya Pradesh
Pt. Deen Dayal Upadhyay Government College,,Uttar Pradesh
Pt. Deen Dayal Upadhyay Government Girls Degree College,,Uttar Pradesh
Pt. Deen Dayal Upadhyay Govt. Degree College,,Uttar Pradesh
Pt. Deen Dayal Upadhyay Gramodya Mahavidyalaya,,Uttar Pradesh
Pt. Deen Dayal Upadhyay Management College,,Uttar Pradesh
Pt. Deen Dayal Upadhyaya Govt. Girls Degree College,,Uttar Pradesh
Pt. Deendayal Upadhyay College,,Madhya Pradesh
Pt. Deendayal Upadhyay Govt. College,,Madhya Pradesh
Pt. Dev Narayan Shukla Mahavidyalaya,Fatehpur,Uttar Pradesh
Pt. Gajraj Shukla Mahavidyalaya,,Uttar Pradesh
Pt. Gangadhar Pandey Shravan Kumar Mahavidyalaya,,Uttar Pradesh
Pt. Ghanaram Hariram Mahavidyalaya,,Uttar Pradesh
Pt. Hari Sahay Degree College,,Uttar Pradesh
Pt. Harishankar Shukla Memorial College,,Chhattisgarh
Pt. J.L.N. College,,Uttar Pradesh
Pt. J.L.N.M. Medical College,,Chhattisgarh
Pt. J.N. Govt. Degree College,,Madhya Pradesh
Pt. Jag Narayan Shukla Gramoday Mahavidyalaya,,Uttar Pradesh
Pt. Jagannath Mishra Mahavidyalaya,,Uttar Pradesh
Pt. Jwala Prasad Upadhyay  Government College Patna.,,Chhattisgarh
Pt. Kamlapati Tripathi Govt. P.G. College,,Uttar Pradesh
Pt. Kashi Prasad Dixit Shikchhan & Prashikchhan Mahavidyalaya,,Uttar Pradesh
Pt. Kundan Lal Shukla Mahavidyalaya,,Uttar Pradesh
Pt. L.M.S. Govt. P.G. College,,Uttarakhand
Pt. Lalta Prasad Ram Krishan Mahavidyalaya,,Uttar Pradesh
Pt. Laxmi Narayan Memorial Mahavidyalaya,,Uttar Pradesh
Pt. Mahaveer Prasad Tripathi Mahavidyalaya,Mirzapur,Uttar Pradesh
Pt. Manish Sharma Degree College,,Uttar Pradesh
Pt. Mohan S.D. College For Women,,Punjab
Pt. Nagina Smarak Mahavidyalaya,Azamgarh,Uttar Pradesh
Pt. Om Prakash Sharma Mahaivdyalaya,,Uttar Pradesh
Pt. Omkar Nath Degree College,,Uttar Pradesh
Pt. Parashuram Dwivedi Mahavidyalaya,,Uttar Pradesh
Pt. Prannath Kamta Prasad M.V. Mahavidyalaya.,Bara Banki,Uttar Pradesh
Pt. Prithi Nath (PG) College,,Uttar Pradesh
Pt. Purnanand Tewari Government Degree College,Nainital,Uttarakhand
Pt. Purushottam Degree College,,Uttar Pradesh
Pt. Raj Narain Mishra Degree College,,Uttar Pradesh
Pt. Raja Ram Upadhaya Mahavidyalaya,Chitrakoot,Uttar Pradesh
Pt. Rajpati Mahavidyalaya,,Uttar Pradesh
Pt. Ram Adhin Dixit Educational Training Institute,,Uttar Pradesh
Pt. Ram Charitra Mishra Mahavidyalaya,,Uttar Pradesh
Pt. Ram Dutt Shukla Degree College,,Uttar Pradesh
Pt. Ram Komal Dwivedi Degree College,,Uttar Pradesh
Pt. Ram Kripal Dixit Degree College,,Uttar Pradesh
Pt. Ram Kumar Shukl Mahavidyalaya,Allahabad,Uttar Pradesh
Pt. Ram Lakhan Shukla Govt. P.G. College,,Uttar Pradesh
Pt. Ram Narayan Sharma Mahavidyalaya,Pratapgarh,Uttar Pradesh
Pt. Ram Shabd Smriti Mahavidyalaya,Ambedkar Nagar,Uttar Pradesh
Pt. Ramashankar Mishra Mahavidyalaya.,Varanasi,Uttar Pradesh
Pt. Ramesh Chandra Parasnath Mahavidaylaya,Jaunpur,Uttar Pradesh
Pt. Rameswar Bajpai Smriti Mahavidyalaya,,Uttar Pradesh
Pt. Rampravesh Chaubey Mahavidyalaya,Varanasi,Uttar Pradesh
Pt. Rishi Maharaj Mahavidyalaya,,Uttar Pradesh
Pt. S.N. Shukla Govt. College,Shahdol,Madhya Pradesh
Pt. Sahdev Prasad Trivedi Mahavidyalaya,,Uttar Pradesh
Pt. Satya Narayan Dwivedi Smarak Mahavidyalaya,Sultanpur,Uttar Pradesh
Pt. Shanti Bhushan Mahavidyalaya,Varanasi,Uttar Pradesh
Pt. Shivratan Dubey Girls Mahavidyalaya,,Uttar Pradesh
Pt. Shree Chand Sharma Memorial College,,Uttar Pradesh
Pt. Shri Ram Pratap Shukla Mahila Mahavidyalaya,,Uttar Pradesh
Pt. Som Chandra Dwivedi Mahavidyalaya,Kaushambi,Uttar Pradesh
Pt. Sripati Mishra Degree College,,Uttar Pradesh
Pt. Sunderlal Memorial Degree College,,Uttar Pradesh
Pt. Surya Narayan Chaturvedi Mahavidyalaya,,Uttar Pradesh
Pt. Thakur Prasad Tripathi Kishan Mahavidyalaya,,Uttar Pradesh
Pt. Udai jain Mahavidyalaya Jawahar Vidyapeeth,,Rajasthan
Pt. Umashankar Narayan Hari Mahavidyalaya,Hamirpur,Uttar Pradesh
Pt. Vasudev Tiwari Girls Science Degree College,,Uttar Pradesh
PTVA’s Institute of Management,Mumbai,Maharashtra
Pub - Kamrup College,Kamrup,Assam
Pub Dikrong College,Lakhimpur,Assam
Pub Majuli College,Jorhat,Assam
Public College,,Punjab
Public College of Commerce,,Nagaland
Public Degree College,,Uttar Pradesh
Public Girls Degree College,Azamgarh,Uttar Pradesh
Public Khalsa College for Women,,Punjab
Public Mahila Sahar Mahavidyalaya,,Uttar Pradesh
Pujya Bhaurao Devras Mahavidyalaya,,Uttar Pradesh
Pune Julha Mandal's Mamasahib Momol Arts & Commerce College,Pune,Maharashtra
Pune Vidyarthi Griha’s College of Engineering & Shrikrushna S. Dhamankar Institute of Management,Nashik,Maharashtra
Pune Vidyarthi Griha’s College of Engineering and Technology,Pune,Maharashtra
Punjab Institute of Management & Technology,Ludhiana,Punjab
Punjab Sindh Chetra Sadu Mahavidyalaya,,Uttar Pradesh
Puras - Kanpur Haridas Nandi Mahavidyalaya,,West Bengal
Purbanchal College,Dhemaji,Assam
Purbasthali College,Puruliya,West Bengal
Purnea College,,Bihar
Purnea Mahila College,,Bihar
Purnidevi Chowdhury Girls College,,West Bengal
Purnima Ram Pratap Sanskrit Mahavidyalaya,,Bihar
Purnodaya Mahila Mahavidyalaya,Varanasi,Uttar Pradesh
Puroshotam Singh Mahavidyalaya,Sultanpur,Uttar Pradesh
Purushottam Lal Sharma Mahavidyalaya,,Uttar Pradesh
Purushottam Mahavidyalaya,Mau,Uttar Pradesh
Purushottam Shri Ram Degree College,Kanpur Nagar,Uttar Pradesh
Purushottam Thote College of Social Work,,Maharashtra
Purvanchal Degree College,,Uttar Pradesh
Purvanchal Mahila Degree College,Mau,Uttar Pradesh
Purvanchal P.G. College,,Uttar Pradesh
Pushp Institute of Sciences & Higher Studies,,Uttar Pradesh
Pushpa Devi Girls College,Etah,Uttar Pradesh
Pushpanjali College of Education,,Maharashtra
Puthimari College,Kamrup,Assam
Pyare Lal Smarak Mahavidyalaya,,Uttar Pradesh
Pyari Devi Rajit Mahavidyalaya,,Uttar Pradesh
Pydah College,Visakhapatnam,Andhra Pradesh
Pydah College of Engineering,East Godavari,Andhra Pradesh
Pydah College of Pharmacy,East Godavari,Andhra Pradesh
Q. F. Mahavidyalaya,Bara Banki,Uttar Pradesh
QIS College of Engineering & Technology,Prakasam,Andhra Pradesh
QIS College of Pharmacy Vengamukkapalem,Prakasam,Andhra Pradesh
Quality Education and Trainings (Q.E.T.) College,Kashmir,Jammu and Kashmir
Queen Mary's College,,Tamil Nadu
Quiad-E-Millet Government College for Women,,Tamil Nadu
R. B. Madkholkar Mahavidyalaya,,Maharashtra
R. G. Mahavidyalaya,Kanpur Dehat,Uttar Pradesh
R. K. Saha Women’s College,,Bihar
R. Mishra College,,Bihar
R. N. Institute of Modern Management Education & Research Centre,,Uttar Pradesh
R. S. D. Academy,,Uttar Pradesh
R. S. Raj Mahavidyalaya,Jaunpur,Uttar Pradesh
R.A. Podar College of Commerce & Economics,,Maharashtra
R.A.F. Mahila Mahavidyalaya,Mau,Uttar Pradesh
R.A.S. Degree College,Lucknow,Uttar Pradesh
R.B. Attal Arts Science & Commerce College,,Maharashtra
R.B. College,,Bihar
R.B. Degree College,,Uttar Pradesh
R.B. Narayanrao Borwake College,,Maharashtra
R.B. Sagar College of Education,,Gujarat
R.B. Singh Mahavidyalaya,,Uttar Pradesh
R.B.A.N.M.S. First Grade College,,Karnataka
R.B.D. Mahila Mahavidyalaya,,Uttar Pradesh
R.B.G.R. College,,Bihar
R.B.S College of Management & Technology,,Uttar Pradesh
R.B.S. College,Aligarh,Uttar Pradesh
R.B.S. College,,Bihar
R.B.S. College,,Bihar
R.B.S. Mahavidyalaya,Basti,Uttar Pradesh
R.B.S.S. Mahavidyalaya,Rewa,Madhya Pradesh
R.B.V.R.R. Women's College,,Telangana
R.C Sharma Mahavidyalaya,Agra,Uttar Pradesh
R.C. College of Commerce,,Gujarat
R.C. Patel Arts Commerce and Science College,,Maharashtra
R.C. Patel B. Pharmacy College,,Maharashtra
R.C.A. Girls Degree College,,Uttar Pradesh
R.C.C. S. College,,Bihar
R.C.M. Science College,,Odisha
R.C.S Memorial Degree College,Agra,Uttar Pradesh
R.C.S. law College,,Chhattisgarh
R.D. & D.J. College,,Bihar
R.D. Engineering College,,Uttar Pradesh
R.D. Memorial Degree College,Bijnor,Uttar Pradesh
R.D.R.B. Mahavidyalaya,,Uttar Pradesh
R.D.R.P.S. Degree College,,Uttar Pradesh
R.D.S. College,,Bihar
R.D.S. Degree Mahavidyalaya,,Odisha
R.D.S. Mahavidyalaya,Jaunpur,Uttar Pradesh
R.D.S. Public Girls College,,Haryana
R.E.S.E.T. College of Education,Kashmir,Jammu and Kashmir
R.G. Baruah College,Kamrup,Assam
R.G. Kar Medical College,,West Bengal
R.G. Shah Science College,,Gujarat
R.G. Teachers College,,Gujarat
R.G.N.P. Degree College,Bijnor,Uttar Pradesh
R.H. Patel Arts and Commerce College,,Gujarat
R.I.E.T. Vidyapeeth,,Uttar Pradesh
R.I.H.S.,,Odisha
R.J. College of Arts & Science & Commerce,,Maharashtra
R.J. Degree College,,Uttar Pradesh
R.J. Institute of Higher Education,Bulandshahr,Uttar Pradesh
R.J. Mahavidyalaya,Aligarh,Uttar Pradesh
R.J. Tibrewal Commerce College,,Gujarat
R.K. College,,Bihar
R.K. College,Meerut,Uttar Pradesh
R.K. College,,Uttar Pradesh
R.K. College of Education,Jammu,Jammu and Kashmir
R.K. College of Systems & Management,,Uttar Pradesh
R.K. Degree College,Jammu,Jammu and Kashmir
R.K. Gupta Memorial Institute of Technology & Management,,Uttar Pradesh
R.K. Institute of Management and Computer Science,Bangalore,Karnataka
R.K. Mahavidyalaya,Sultanpur,Uttar Pradesh
R.K. Mahila College,,Jharkhand
R.K. Sanatombi Devi College of Education,,Manipur
R.K. Talreja College of Arts Science & Commerce,,Maharashtra
R.K.Arya College,,Punjab
R.K.K. College,Purnia,Bihar
R.K.S.D. College,,Haryana
R.L. College,,Bihar
R.L.S Memorial Degree College,,Uttarakhand
R.L.S. Law College,Davanagere,Karnataka
R.L.S.Y. College,,Bihar
